task,is_ood,num_shots,freq_bin,num_suffixes,num_samples,accuracy,faithfulness
morph-gen,True,5,"(10, 100)",1,3,0.4857142857142857,0.5142857142857142
morph-gen,True,5,"(10, 100)",2,10,0.4857142857142857,0.5142857142857142
morph-gen,True,5,"(10, 100)",3,19,0.4857142857142857,0.5142857142857142
morph-gen,True,5,"(10, 100)",4,3,0.4857142857142857,0.5142857142857142
morph-gen,True,5,"(100, 1000)",1,8,0.8571428571428571,0.8809523809523809
morph-gen,True,5,"(100, 1000)",2,25,0.8571428571428571,0.8809523809523809
morph-gen,True,5,"(100, 1000)",3,8,0.8571428571428571,0.8809523809523809
morph-gen,True,5,"(100, 1000)",5,1,0.8571428571428571,0.8809523809523809
morph-gen,True,5,"(1000,)",1,33,0.9210526315789473,0.9210526315789473
morph-gen,True,5,"(1000,)",2,5,0.9210526315789473,0.9210526315789473
morph-disc,True,1,"(0, 10)",1,2,0.937007874015748,1.0
morph-disc,True,1,"(0, 10)",2,7,0.937007874015748,1.0
morph-disc,True,1,"(0, 10)",3,21,0.937007874015748,1.0
morph-disc,True,1,"(0, 10)",4,46,0.937007874015748,1.0
morph-disc,True,1,"(0, 10)",5,43,0.937007874015748,1.0
morph-disc,True,1,"(0, 10)",6,8,0.937007874015748,1.0
morph-disc,True,1,"(10, 100)",1,3,0.9142857142857143,1.0
morph-disc,True,1,"(10, 100)",2,10,0.9142857142857143,1.0
morph-disc,True,1,"(10, 100)",3,19,0.9142857142857143,1.0
morph-disc,True,1,"(10, 100)",4,3,0.9142857142857143,1.0
morph-disc,True,1,"(100, 1000)",1,8,0.9523809523809523,1.0
morph-disc,True,1,"(100, 1000)",2,25,0.9523809523809523,1.0
morph-disc,True,1,"(100, 1000)",3,8,0.9523809523809523,1.0
morph-disc,True,1,"(100, 1000)",5,1,0.9523809523809523,1.0
morph-disc,True,1,"(1000,)",1,33,0.9736842105263158,0.9736842105263158
morph-disc,True,1,"(1000,)",2,5,0.9736842105263158,0.9736842105263158
morph-gen,False,3,"(0, 10)",1,2,0.7322834645669292,0.7322834645669292
morph-gen,False,3,"(0, 10)",2,7,0.7322834645669292,0.7322834645669292
morph-gen,False,3,"(0, 10)",3,21,0.7322834645669292,0.7322834645669292
morph-gen,False,3,"(0, 10)",4,46,0.7322834645669292,0.7322834645669292
morph-gen,False,3,"(0, 10)",5,43,0.7322834645669292,0.7322834645669292
morph-gen,False,3,"(0, 10)",6,8,0.7322834645669292,0.7322834645669292
morph-gen,False,3,"(10, 100)",1,3,0.7142857142857143,0.7428571428571429
morph-gen,False,3,"(10, 100)",2,10,0.7142857142857143,0.7428571428571429
morph-gen,False,3,"(10, 100)",3,19,0.7142857142857143,0.7428571428571429
morph-gen,False,3,"(10, 100)",4,3,0.7142857142857143,0.7428571428571429
morph-gen,False,3,"(100, 1000)",1,8,0.9285714285714286,0.9047619047619048
morph-gen,False,3,"(100, 1000)",2,25,0.9285714285714286,0.9047619047619048
morph-gen,False,3,"(100, 1000)",3,8,0.9285714285714286,0.9047619047619048
morph-gen,False,3,"(100, 1000)",5,1,0.9285714285714286,0.9047619047619048
morph-gen,False,3,"(1000,)",1,33,0.9473684210526315,0.868421052631579
morph-gen,False,3,"(1000,)",2,5,0.9473684210526315,0.868421052631579
morph-gen,False,5,"(0, 10)",1,2,0.7952755905511811,0.8031496062992126
morph-gen,False,5,"(0, 10)",2,7,0.7952755905511811,0.8031496062992126
morph-gen,False,5,"(0, 10)",3,21,0.7952755905511811,0.8031496062992126
morph-gen,False,5,"(0, 10)",4,46,0.7952755905511811,0.8031496062992126
morph-gen,False,5,"(0, 10)",5,43,0.7952755905511811,0.8031496062992126
morph-gen,False,5,"(0, 10)",6,8,0.7952755905511811,0.8031496062992126
morph-gen,False,5,"(10, 100)",1,3,0.6571428571428571,0.6571428571428571
morph-gen,False,5,"(10, 100)",2,10,0.6571428571428571,0.6571428571428571
morph-gen,False,5,"(10, 100)",3,19,0.6571428571428571,0.6571428571428571
morph-gen,False,5,"(10, 100)",4,3,0.6571428571428571,0.6571428571428571
morph-gen,False,5,"(100, 1000)",1,8,0.9285714285714286,0.9047619047619048
morph-gen,False,5,"(100, 1000)",2,25,0.9285714285714286,0.9047619047619048
morph-gen,False,5,"(100, 1000)",3,8,0.9285714285714286,0.9047619047619048
morph-gen,False,5,"(100, 1000)",5,1,0.9285714285714286,0.9047619047619048
morph-gen,False,5,"(1000,)",1,33,0.9736842105263158,0.8947368421052632
morph-gen,False,5,"(1000,)",2,5,0.9736842105263158,0.8947368421052632
morph-gen,True,1,"(0, 10)",1,2,0.33858267716535434,0.3700787401574803
morph-gen,True,1,"(0, 10)",2,7,0.33858267716535434,0.3700787401574803
morph-gen,True,1,"(0, 10)",3,21,0.33858267716535434,0.3700787401574803
morph-gen,True,1,"(0, 10)",4,46,0.33858267716535434,0.3700787401574803
morph-gen,True,1,"(0, 10)",5,43,0.33858267716535434,0.3700787401574803
morph-gen,True,1,"(0, 10)",6,8,0.33858267716535434,0.3700787401574803
morph-gen,True,1,"(10, 100)",1,3,0.4,0.4
morph-gen,True,1,"(10, 100)",2,10,0.4,0.4
morph-gen,True,1,"(10, 100)",3,19,0.4,0.4
morph-gen,True,1,"(10, 100)",4,3,0.4,0.4
morph-gen,True,1,"(100, 1000)",1,8,0.7380952380952381,0.7380952380952381
morph-gen,True,1,"(100, 1000)",2,25,0.7380952380952381,0.7380952380952381
morph-gen,True,1,"(100, 1000)",3,8,0.7380952380952381,0.7380952380952381
morph-gen,True,1,"(100, 1000)",5,1,0.7380952380952381,0.7380952380952381
morph-gen,True,1,"(1000,)",1,33,0.8947368421052632,0.8947368421052632
morph-gen,True,1,"(1000,)",2,5,0.8947368421052632,0.8947368421052632
morph-disc,True,3,"(0, 10)",1,2,0.937007874015748,1.0
morph-disc,True,3,"(0, 10)",2,7,0.937007874015748,1.0
morph-disc,True,3,"(0, 10)",3,21,0.937007874015748,1.0
morph-disc,True,3,"(0, 10)",4,46,0.937007874015748,1.0
morph-disc,True,3,"(0, 10)",5,43,0.937007874015748,1.0
morph-disc,True,3,"(0, 10)",6,8,0.937007874015748,1.0
morph-disc,True,3,"(10, 100)",1,3,0.9428571428571428,1.0
morph-disc,True,3,"(10, 100)",2,10,0.9428571428571428,1.0
morph-disc,True,3,"(10, 100)",3,19,0.9428571428571428,1.0
morph-disc,True,3,"(10, 100)",4,3,0.9428571428571428,1.0
morph-disc,True,3,"(100, 1000)",1,8,0.9761904761904762,1.0
morph-disc,True,3,"(100, 1000)",2,25,0.9761904761904762,1.0
morph-disc,True,3,"(100, 1000)",3,8,0.9761904761904762,1.0
morph-disc,True,3,"(100, 1000)",5,1,0.9761904761904762,1.0
morph-disc,True,3,"(1000,)",1,33,0.9210526315789473,0.9473684210526315
morph-disc,True,3,"(1000,)",2,5,0.9210526315789473,0.9473684210526315
morph-disc,False,1,"(0, 10)",1,2,0.9921259842519685,1.0
morph-disc,False,1,"(0, 10)",2,7,0.9921259842519685,1.0
morph-disc,False,1,"(0, 10)",3,21,0.9921259842519685,1.0
morph-disc,False,1,"(0, 10)",4,46,0.9921259842519685,1.0
morph-disc,False,1,"(0, 10)",5,43,0.9921259842519685,1.0
morph-disc,False,1,"(0, 10)",6,8,0.9921259842519685,1.0
morph-disc,False,1,"(10, 100)",1,3,1.0,1.0
morph-disc,False,1,"(10, 100)",2,10,1.0,1.0
morph-disc,False,1,"(10, 100)",3,19,1.0,1.0
morph-disc,False,1,"(10, 100)",4,3,1.0,1.0
morph-disc,False,1,"(100, 1000)",1,8,0.9523809523809523,1.0
morph-disc,False,1,"(100, 1000)",2,25,0.9523809523809523,1.0
morph-disc,False,1,"(100, 1000)",3,8,0.9523809523809523,1.0
morph-disc,False,1,"(100, 1000)",5,1,0.9523809523809523,1.0
morph-disc,False,1,"(1000,)",1,33,1.0,1.0
morph-disc,False,1,"(1000,)",2,5,1.0,1.0
morph-gen,True,3,"(0, 10)",1,2,0.4015748031496063,0.41732283464566927
morph-gen,True,3,"(0, 10)",2,7,0.4015748031496063,0.41732283464566927
morph-gen,True,3,"(0, 10)",3,21,0.4015748031496063,0.41732283464566927
morph-gen,True,3,"(0, 10)",4,46,0.4015748031496063,0.41732283464566927
morph-gen,True,3,"(0, 10)",5,43,0.4015748031496063,0.41732283464566927
morph-gen,True,3,"(0, 10)",6,8,0.4015748031496063,0.41732283464566927
morph-gen,True,3,"(10, 100)",1,3,0.5714285714285714,0.5714285714285714
morph-gen,True,3,"(10, 100)",2,10,0.5714285714285714,0.5714285714285714
morph-gen,True,3,"(10, 100)",3,19,0.5714285714285714,0.5714285714285714
morph-gen,True,3,"(10, 100)",4,3,0.5714285714285714,0.5714285714285714
morph-gen,True,3,"(100, 1000)",1,8,0.8809523809523809,0.8333333333333334
morph-gen,True,3,"(100, 1000)",2,25,0.8809523809523809,0.8333333333333334
morph-gen,True,3,"(100, 1000)",3,8,0.8809523809523809,0.8333333333333334
morph-gen,True,3,"(100, 1000)",5,1,0.8809523809523809,0.8333333333333334
morph-gen,True,3,"(1000,)",1,33,0.868421052631579,0.8421052631578947
morph-gen,True,3,"(1000,)",2,5,0.868421052631579,0.8421052631578947
morph-gen,False,1,"(0, 10)",1,2,0.6299212598425197,0.6377952755905512
morph-gen,False,1,"(0, 10)",2,7,0.6299212598425197,0.6377952755905512
morph-gen,False,1,"(0, 10)",3,21,0.6299212598425197,0.6377952755905512
morph-gen,False,1,"(0, 10)",4,46,0.6299212598425197,0.6377952755905512
morph-gen,False,1,"(0, 10)",5,43,0.6299212598425197,0.6377952755905512
morph-gen,False,1,"(0, 10)",6,8,0.6299212598425197,0.6377952755905512
morph-gen,False,1,"(10, 100)",1,3,0.6285714285714286,0.6285714285714286
morph-gen,False,1,"(10, 100)",2,10,0.6285714285714286,0.6285714285714286
morph-gen,False,1,"(10, 100)",3,19,0.6285714285714286,0.6285714285714286
morph-gen,False,1,"(10, 100)",4,3,0.6285714285714286,0.6285714285714286
morph-gen,False,1,"(100, 1000)",1,8,0.8809523809523809,0.8571428571428571
morph-gen,False,1,"(100, 1000)",2,25,0.8809523809523809,0.8571428571428571
morph-gen,False,1,"(100, 1000)",3,8,0.8809523809523809,0.8571428571428571
morph-gen,False,1,"(100, 1000)",5,1,0.8809523809523809,0.8571428571428571
morph-gen,False,1,"(1000,)",1,33,0.9210526315789473,0.8421052631578947
morph-gen,False,1,"(1000,)",2,5,0.9210526315789473,0.8421052631578947
morph-disc,False,3,"(0, 10)",1,2,0.9921259842519685,1.0
morph-disc,False,3,"(0, 10)",2,7,0.9921259842519685,1.0
morph-disc,False,3,"(0, 10)",3,21,0.9921259842519685,1.0
morph-disc,False,3,"(0, 10)",4,46,0.9921259842519685,1.0
morph-disc,False,3,"(0, 10)",5,43,0.9921259842519685,1.0
morph-disc,False,3,"(0, 10)",6,8,0.9921259842519685,1.0
morph-disc,False,3,"(10, 100)",1,3,1.0,1.0
morph-disc,False,3,"(10, 100)",2,10,1.0,1.0
morph-disc,False,3,"(10, 100)",3,19,1.0,1.0
morph-disc,False,3,"(10, 100)",4,3,1.0,1.0
morph-disc,False,3,"(100, 1000)",1,8,0.9761904761904762,1.0
morph-disc,False,3,"(100, 1000)",2,25,0.9761904761904762,1.0
morph-disc,False,3,"(100, 1000)",3,8,0.9761904761904762,1.0
morph-disc,False,3,"(100, 1000)",5,1,0.9761904761904762,1.0
morph-disc,False,3,"(1000,)",1,33,1.0,1.0
morph-disc,False,3,"(1000,)",2,5,1.0,1.0
